candidate_id,activity_id,candidate_title,product_hypothesis,primary_friction,product_territory,target_participant,target_context,seasonal_tags,fact_status,research_state,score_basis,hard_gates_passed,evidence_ids,known_contradictions,next_falsification_test,created_at,last_scored_at,behavior_frequency,friction_severity,workaround_strength,complaint_repetition,product_simplicity,shipping_fit,margin_potential,return_risk_inverse,community_reachability,competition_gap,seasonal_timing,expansion_potential,risk_inverse
nc-001,act-fishing-bank-fishing,wet-hand tackle change station,"Tethered, one-hand small-parts workspace for changing lures from a bank or pier",small_parts,tethered_workstation,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,3,4,4,2,4,5,3,4,5,2,3,4,4
nc-002,act-walking-bad-weather-walking,glove-operable dog-walk carry system,"One-hand system integrating waste bags, light, keys, treats, and phone access",occupied_hand,animal_outing_system,ordinary participant or hobbyist,outdoor repeated-use context,fall;winter;rain,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,4,5,5,3,5,3,4,5,3,3,4,5,3
nc-003,act-walking-trail-running,high-mobility low-bounce shorts,Running shorts with mapped split/gusset construction and stable side storage,movement_restriction,articulated_apparel,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,5,3,2,4,3,4,5,3,4,4,5,3,4
nc-004,act-outdoor-youth-soccer-spectating,portable sideline micro-shelter,"Compact warmth, ground isolation, and rain protection for stationary spectators",stationary_exposure,thermal_transition,ordinary participant or hobbyist,outdoor repeated-use context,fall;winter;spring,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,3,4,3,5,4,5,3,4,5,5,3,4,3
nc-005,act-camping-family-camping,indexed after-dark setup kit,Task-lighting and color/index system for shelter setup after dark,setup_complexity,task_lighting,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,4,5,4,2,5,3,4,5,3,2,4,5,4
nc-006,act-garden-vegetable-gardening,wearable kneel-and-tool interface,Kneeling support that travels with the user and holds frequently switched tools,body_support,ground_interface,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,5,3,5,3,3,4,5,3,4,3,5,3,3
nc-007,act-cycling-bike-commuting,office-transition wet/dry module,Removable bike-to-office module isolating wet clothing and helmet accessories,wet_dry_transition,wet_dirty_containment,ordinary participant or hobbyist,outdoor repeated-use context,all-season;rain,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,3,4,2,4,4,5,3,4,5,4,3,4,4
nc-008,act-paddling-beach-days,sand-isolating wet gear carrier,"Modular carrier separating sand, wet textiles, footwear, and clean items",dirty_clean_transition,wet_dirty_containment,ordinary participant or hobbyist,outdoor repeated-use context,summer,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,4,5,3,5,5,3,4,5,3,5,4,5,3
nc-009,act-camping-rv-camping,indexed hookup and teardown organizer,"Sequenced cable, hose, glove, and adapter modules for arrival/departure",checklist_failure,seasonal_storage,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,5,3,4,2,3,4,5,3,4,2,5,3,4
nc-010,act-picnic-farmers-market-vending,portable wind-resistant display hardware,"Compact stabilization and attachment system for signs, covers, and light displays",wind_stability,wind_stabilization,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,3,4,5,3,4,5,3,4,5,3,3,4,3
nc-011,act-garden-firewood-carrying,debris-containing wood sling,Load-distributing sling that closes for bark containment during indoor transition,carry_load,modular_carry,ordinary participant or hobbyist,outdoor repeated-use context,fall;winter,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,4,5,2,4,5,3,4,5,3,4,4,5,4
nc-012,act-nature-birdwatching,silent optic access harness,Quiet weather-protected binocular and phone access without opening a pack,silent_access,body_mounted_access,ordinary participant or hobbyist,outdoor repeated-use context,all-season,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,5,3,3,5,3,4,5,3,4,5,5,3,3
nc-013,act-fishing-kayak-fishing,seated reach-zone tether board,Configurable retained tool and tackle interface for seated kayak reach,object_retention,tethered_workstation,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,3,4,4,2,4,5,3,4,5,2,3,4,4
nc-014,act-paddling-open-water-swimming,rewarm and changing transition kit,"Compact dry storage, changing privacy, visibility, and rewarming organization",wet_dry_transition,wet_dirty_containment,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,4,5,5,3,5,3,4,5,3,3,4,5,3
nc-015,act-foraging-metal-detecting,washable split-find pouch,"Puncture-resistant separate compartments for trash, tools, and finds",collection_sorting,body_mounted_access,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,5,3,2,4,3,4,5,3,4,4,5,3,4
nc-016,act-foraging-rockhounding,padded provenance specimen carrier,Load-distributing divided carrier with field labels for irregular specimens,carry_load,modular_carry,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,3,4,3,5,4,5,3,4,5,5,3,4,3
nc-017,act-foraging-mushroom-foraging,breathable divided field collector,Washable breathable modules separating specimens and recording provenance,collection_sorting,modular_carry,ordinary participant or hobbyist,outdoor repeated-use context,spring;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,4,5,4,2,5,3,4,5,3,2,4,5,4
nc-018,act-fishing-ice-fishing,oversized cold-dexterity tackle controls,Glove-operable tackle storage and line-handling interfaces,cold_dexterity,one_hand_controls,ordinary participant or hobbyist,outdoor repeated-use context,winter,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,5,3,5,3,3,4,5,3,4,3,5,3,3
nc-019,act-nature-stargazing,dew and cold battery station,"Red-light compatible pouch managing batteries, dew exposure, and small tools",environmental_protection,environmental_protection,ordinary participant or hobbyist,outdoor repeated-use context,fall;winter;spring,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,3,4,2,4,4,5,3,4,5,4,3,4,4
nc-020,act-walking-geocaching,weatherproof micro field kit,"Small repair, log-writing, exchange-item, and weatherproofing kit",field_recording,field_labeling,ordinary participant or hobbyist,outdoor repeated-use context,all-season,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,4,5,3,5,5,3,4,5,3,5,4,5,3
nc-021,act-winter-snow-shoveling,vent-and-stow snow-work layer,Layer system designed for high exertion followed by stationary cold,thermal_moisture,thermal_transition,ordinary participant or hobbyist,outdoor repeated-use context,winter,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,5,3,4,2,3,4,5,3,4,2,5,3,4
nc-022,act-camping-camp-cooking,nested hot-tool staging system,"Heat-safe, wind-aware, compact utensil and prep staging surface",hot_tool_staging,tethered_workstation,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,3,4,5,3,4,5,3,4,5,3,3,4,3
nc-023,act-paddling-boat-launching,pre-launch personal-item and tie-down station,"Water-resistant staging system for keys, phone, plugs, straps, and checklist",checklist_failure,body_mounted_access,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,4,5,2,4,5,3,4,5,3,4,4,5,4
nc-024,act-outdoors-family-camping-routines,child nighttime routine modules,"Labeled lighting, footwear, bathroom, and wet-clothing modules for camp",multi_person_coordination,child_routine_system,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,5,3,3,5,3,4,5,3,4,5,5,3,3
nc-025,act-nature-nature-photography,rain-safe body-mounted lens access,Weather-protected lens changing and temporary retention near the body,environmental_protection,body_mounted_access,ordinary participant or hobbyist,outdoor repeated-use context,all-season,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,3,4,4,2,4,5,3,4,5,2,3,4,4
nc-026,act-property-cottage-opening,seasonal opening and closing kit,"Indexed inspection, pest, moisture, utility, and tool modules",seasonal_storage,seasonal_storage,ordinary participant or hobbyist,outdoor repeated-use context,spring;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,4,5,5,3,5,3,4,5,3,3,4,5,3
nc-027,act-paddling-recreational-kayaking,deck-access wet/dry tether module,Splash-resistant reach-zone storage with retained opening and closures,object_retention,tethered_workstation,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,5,3,2,4,3,4,5,3,4,4,5,3,4
nc-028,act-outdoor-grilling,heat-safe grease-contained tool dock,Removable outdoor cooking tool station protecting surfaces and hands,hot_tool_staging,tethered_workstation,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,3,4,3,5,4,5,3,4,5,5,3,4,3
nc-029,act-garden-composting,leak-resistant kitchen-to-bin transfer caddy,"Washable transfer container optimized for carrying, emptying, and winter use",dirty_clean_transition,portable_hygiene,ordinary participant or hobbyist,outdoor repeated-use context,all-season,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,4,5,4,2,5,3,4,5,3,2,4,5,4
nc-030,act-stewardship-trail-clearing,long-tool and hardware volunteer carrier,"Safe carry system for long tools, fasteners, hydration, and visibility",tool_transport,modular_carry,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,5,3,5,3,3,4,5,3,4,3,5,3,3
nc-031,act-outdoors-muddy-pet-transport,portable paw-cleaning vehicle transition,"Quick staged wash, towel, waste, and seat-protection system",dirty_clean_transition,animal_outing_system,ordinary participant or hobbyist,outdoor repeated-use context,all-season;rain,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,3,4,2,4,4,5,3,4,5,4,3,4,4
nc-032,act-adaptive-accessible-fishing,mobility-aid compatible tackle access,Tackle and tool access system usable while hands support mobility,occupied_hand,mobility_compatible_access,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,4,5,3,5,5,3,4,5,3,5,4,5,3
nc-033,act-recreational-outdoor-pickleball,fence-side personal gear station,"Compact retained station for balls, paddle, towel, bottle, and valuables",gear_staging,body_mounted_access,ordinary participant or hobbyist,outdoor repeated-use context,all-season,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,5,3,4,2,3,4,5,3,4,2,5,3,4
nc-034,act-vehicle-roadside-repairs,clean-ground indexed repair mat,Foldout parts-catching repair surface with indexed tool and fastener zones,field_repair,field_repair,ordinary participant or hobbyist,outdoor repeated-use context,all-season,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,3,4,5,3,4,5,3,4,5,3,3,4,3
nc-035,act-outdoor-outdoor-concerts,crowd-compatible ground and carry kit,"Compact clean-ground, rain, and personal-item system with venue-aware size",ground_contamination,ground_interface,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,4,5,2,4,5,3,4,5,3,4,4,5,4
nc-036,act-outdoors-dog-swimming,post-swim dog drying and containment wrap,Rapid dog drying system that contains water and secures during vehicle transition,dirty_clean_transition,animal_outing_system,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,5,3,3,5,3,4,5,3,4,5,5,3,3
